                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5598,                 3.7801,                 1.6229,                0.00278,                0.29691,                0.18839,                0.12657,                 1.2142,                   3.46,                 1.2869,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.3864,                 2.3274,                 1.2362,                0.00453,                0.37799,                0.23968,                0.15187,                  1.235,                 3.2044,                 1.2412,             0.00050654,             0.00050654,             0.00050654
                      3,                 1.3102,                 1.9909,                 1.2169,                0.93958,                0.13036,                0.28842,                0.17917,                 1.4144,                 3.1338,                 1.3838,             0.00075246,             0.00075246,             0.00075246
                      4,                 1.3582,                 1.7256,                 1.1722,                0.71659,                0.30504,                0.44891,                0.29009,                 1.2772,                 2.5439,                 1.2227,             0.00098783,             0.00098783,             0.00098783
                      5,                 1.3804,                 1.6615,                  1.189,                0.28752,                 0.3203,                0.19613,                0.07575,                  1.673,                  3.224,                 1.6827,              0.0012126,              0.0012126,              0.0012126
                      6,                 1.4216,                 1.6975,                 1.1909,                0.40184,                0.41011,                0.33592,                0.20592,                 1.3922,                  2.287,                 1.2921,              0.0014269,              0.0014269,              0.0014269
                      7,                 1.3577,                 1.5698,                   1.18,                   0.63,                0.38145,                0.43691,                0.27528,                 1.3864,                 2.0684,                 1.3003,               0.001469,               0.001469,               0.001469
                      8,                 1.3007,                 1.3764,                 1.1286,                0.70356,                 0.4958,                0.54116,                 0.3075,                 1.5266,                 2.0656,                 1.3755,               0.001469,               0.001469,               0.001469
                      9,                 1.3341,                 1.4151,                 1.1574,                0.79069,                 0.5855,                0.64803,                0.36145,                 1.5932,                 1.7318,                 1.4194,               0.001436,               0.001436,               0.001436
                     10,                 1.3064,                 1.3598,                 1.1685,                0.71841,                0.63491,                0.64082,                0.34468,                 1.3511,                 1.7155,                 1.2822,              0.0014029,              0.0014029,              0.0014029
                     11,                  1.316,                 1.3535,                  1.147,                0.78751,                0.60847,                0.68475,                0.40395,                 1.3275,                 1.4845,                 1.2914,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.2936,                 1.2862,                 1.1434,                0.83521,                0.57049,                0.63952,                0.41304,                 1.2197,                 1.4312,                  1.197,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.2582,                 1.1959,                 1.1162,                0.85691,                0.58672,                0.69156,                0.43589,                 1.2006,                 1.2828,                 1.1879,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.2516,                 1.1556,                 1.1256,                0.87549,                0.58752,                 0.6964,                0.43088,                 1.2769,                 1.3023,                 1.2239,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.2334,                 1.1266,                 1.0929,                0.84904,                0.60364,                0.69253,                0.40693,                 1.3045,                 1.3845,                  1.266,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.1938,                 1.1395,                 1.1025,                0.85043,                0.58396,                0.65595,                0.39755,                 1.3038,                 1.5583,                 1.2601,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.2115,                 1.0637,                 1.0938,                0.90164,                0.61407,                0.69238,                0.42127,                 1.2235,                 1.4177,                 1.1762,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.1804,                 1.0271,                 1.0688,                0.74359,                0.71682,                0.73495,                 0.4379,                 1.2739,                 1.2508,                 1.1875,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.1774,                0.98788,                 1.0869,                0.86832,                0.58235,                0.70596,                0.44829,                 1.1745,                 1.1521,                  1.129,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.1919,                 1.0062,                 1.0751,                0.90177,                0.63417,                0.77489,                0.46203,                 1.1938,                0.99063,                 1.1326,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.1348,                0.92812,                 1.0621,                0.85017,                0.70648,                0.78044,                0.47661,                  1.201,                0.97591,                 1.1575,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.1412,                0.90714,                 1.0534,                0.88861,                0.71615,                0.79579,                0.47078,                 1.1855,                 1.0322,                 1.1337,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.1208,                 0.9064,                 1.0506,                 0.8694,                0.70365,                0.78851,                0.48744,                 1.1461,                0.98639,                 1.1267,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.0583,                 0.8517,                 1.0494,                0.86237,                0.67844,                0.77862,                0.48091,                 1.1844,                0.89322,                  1.168,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.1481,                0.86236,                 1.0563,                 0.8318,                0.67763,                0.78754,                0.46758,                 1.3359,                0.99402,                 1.2462,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.1106,                0.85448,                  1.045,                  0.876,                0.67259,                0.78161,                0.47956,                 1.1547,                0.95466,                 1.1404,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.0764,                0.83058,                 1.0553,                0.88536,                0.66884,                 0.7846,                0.47326,                 1.1894,                0.86344,                 1.1485,             0.00084184,             0.00084184,             0.00084184
                     28,                  1.049,                0.80588,                  1.021,                0.90244,                0.66965,                0.76813,                0.47902,                 1.1048,                0.81316,                 1.1238,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.0534,                0.79151,                 1.0285,                 0.8535,                0.74278,                0.80781,                0.48947,                  1.157,                0.79461,                 1.1258,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.0596,                 0.7861,                 1.0352,                0.92417,                0.67527,                0.82708,                0.50709,                 1.1745,                0.76248,                 1.1478,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.0547,                0.75931,                 1.0017,                0.88484,                0.71701,                0.80732,                0.48796,                 1.2011,                 0.8261,                 1.1553,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.0494,                0.79699,                 1.0223,                0.86794,                0.74313,                0.81433,                0.51347,                 1.1642,                0.84275,                  1.144,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.1037,                0.76913,                  1.007,                0.92115,                0.72771,                0.81575,                0.50945,                 1.1535,                0.77313,                 1.1435,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.0502,                0.74345,                 1.0185,                0.85595,                0.73167,                0.81383,                0.48316,                 1.1476,                0.78529,                 1.1362,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.0013,                0.70981,                 1.0057,                0.93981,                0.66982,                0.81131,                0.48855,                 1.1003,                0.80753,                 1.1029,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.0002,                0.75425,                 1.0033,                0.88639,                0.71072,                0.82493,                0.50479,                 1.1024,                0.78387,                 1.1038,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0082,                0.72438,                 1.0105,                0.85511,                0.76568,                0.83845,                0.51466,                 1.1898,                0.75194,                 1.1563,             0.00051177,             0.00051177,             0.00051177
                     38,                0.97364,                0.69513,                0.99902,                0.86017,                0.75702,                0.82945,                0.52104,                  1.082,                0.69867,                 1.0795,             0.00047876,             0.00047876,             0.00047876
